,date,open,high,low,close,adjusted_close,volume
3084,2023-02-28,3.1,3.13,3.08,3.12,3.12,14303490.0
3083,2023-02-27,3.13,3.13,3.09,3.09,3.09,12364120.0
3082,2023-02-24,3.14,3.16,3.11,3.13,3.13,12707790.0
3081,2023-02-23,3.17,3.19,3.12,3.14,3.14,18674390.0
3080,2023-02-22,3.2,3.2,3.15,3.17,3.17,11024810.0
3079,2023-02-21,3.21,3.22,3.16,3.19,3.19,17156400.0
3078,2023-02-20,3.16,3.21,3.15,3.21,3.21,15765700.0
3077,2023-02-17,3.18,3.18,3.18,3.18,3.18,17258430.0
3076,2023-02-16,3.31,3.33,3.17,3.2,3.2,30672120.0
3075,2023-02-15,3.35,3.37,3.3,3.32,3.32,26307560.0
3074,2023-02-14,3.31,3.4,3.29,3.37,3.37,39364520.0
3073,2023-02-13,3.29,3.41,3.29,3.34,3.34,38979640.0
3072,2023-02-10,3.29,3.3,3.25,3.29,3.29,17342980.0
3071,2023-02-09,3.24,3.28,3.22,3.27,3.27,16317030.0
3070,2023-02-08,3.28,3.29,3.23,3.24,3.24,16439600.0
3069,2023-02-07,3.25,3.28,3.23,3.28,3.28,16792500.0
3068,2023-02-06,3.26,3.26,3.22,3.23,3.23,13281760.0
3067,2023-02-03,3.3,3.3,3.23,3.25,3.25,20309800.0
3066,2023-02-02,3.32,3.33,3.27,3.3,3.3,20574900.0
3065,2023-02-01,3.28,3.32,3.26,3.32,3.32,22631650.0
3064,2023-01-31,3.25,3.28,3.21,3.27,3.27,18747410.0
3063,2023-01-30,3.21,3.29,3.2,3.25,3.25,28816170.0
3062,2023-01-20,3.1,3.19,3.09,3.18,3.18,21577830.0
3061,2023-01-19,3.11,3.12,3.06,3.09,3.09,13376430.0
3060,2023-01-18,3.04,3.12,3.04,3.11,3.11,18236470.0
3059,2023-01-17,3.1,3.12,3.04,3.05,3.05,19019890.0
3058,2023-01-16,3.09,3.14,3.08,3.11,3.11,16995080.0
3057,2023-01-13,3.1,3.13,3.08,3.11,3.11,17760660.0
3056,2023-01-12,3.13,3.17,3.08,3.09,3.09,22683290.0
3055,2023-01-11,3.21,3.23,3.12,3.12,3.12,27543390.0
3054,2023-01-10,3.29,3.3,3.2,3.21,3.21,27648080.0
3053,2023-01-09,3.27,3.32,3.24,3.29,3.29,23506590.0
3052,2023-01-06,3.2,3.34,3.2,3.27,3.27,42432350.0
3051,2023-01-05,3.24,3.27,3.22,3.23,3.23,23481000.0
3050,2023-01-04,3.39,3.4,3.24,3.26,3.26,24561200.0
3049,2023-01-03,3.23,3.34,3.23,3.32,3.32,16741430.0
3048,2023-01-02,3.22,3.22,3.22,3.22,3.22,0.0
