,date,open,high,low,close,adjusted_close,volume
4188,2023-02-28,37.17,37.48,36.85,37.31,37.31,37822550.0
4187,2023-02-27,37.27,37.58,37.09,37.16,37.16,44933370.0
4186,2023-02-24,38.17,38.25,37.4,37.46,37.46,53369020.0
4185,2023-02-23,38.16,38.77,38.16,38.27,38.27,37063820.0
4184,2023-02-22,38.46,38.6,38.14,38.16,38.16,38309140.0
4183,2023-02-21,38.43,38.82,38.13,38.69,38.69,53046540.0
4182,2023-02-20,36.82,38.51,36.82,38.49,38.49,108022830.0
4181,2023-02-17,37.15,37.38,36.68,36.71,36.71,57581280.0
4180,2023-02-16,37.2,37.85,37.02,37.27,37.27,65415230.0
4179,2023-02-15,38.0,38.09,37.0,37.17,37.17,77104780.0
4178,2023-02-14,37.78,38.06,37.51,38.0,38.0,48607660.0
4177,2023-02-13,37.9,37.98,37.07,37.72,37.72,82518130.0
4176,2023-02-10,38.3,38.39,37.9,38.16,38.16,41102640.0
4175,2023-02-09,38.42,38.89,38.32,38.49,38.49,49817480.0
4174,2023-02-08,38.5,38.92,38.36,38.49,38.49,31706530.0
4173,2023-02-07,38.5,38.94,38.16,38.41,38.41,42657090.0
4172,2023-02-06,38.72,38.74,37.88,38.35,38.35,73100070.0
4171,2023-02-03,39.79,39.79,39.01,39.3,39.3,63816360.0
4170,2023-02-02,40.7,40.75,39.55,40.03,40.03,72723290.0
4169,2023-02-01,41.64,41.69,39.95,40.54,40.54,91679130.0
4168,2023-01-31,42.35,42.35,41.21,41.21,41.21,64231190.0
4167,2023-01-30,42.55,42.63,41.85,42.03,42.03,100700740.0
4166,2023-01-20,40.98,41.1,40.68,41.05,41.05,41340270.0
4165,2023-01-19,40.2,40.8,39.92,40.65,40.65,47249020.0
4164,2023-01-18,40.65,40.95,40.23,40.38,40.38,29467470.0
4163,2023-01-17,40.45,40.94,40.28,40.68,40.68,43204710.0
4162,2023-01-16,40.0,41.14,39.8,40.47,40.47,88046860.0
4161,2023-01-13,39.07,39.66,38.97,39.66,39.66,46376710.0
4160,2023-01-12,39.11,39.15,38.73,39.05,39.05,30434870.0
4159,2023-01-11,38.38,39.18,38.14,38.92,38.92,54170700.0
4158,2023-01-10,38.78,38.8,38.16,38.25,38.25,54197160.0
4157,2023-01-09,38.41,39.1,38.41,38.8,38.8,49914890.0
4156,2023-01-06,38.66,38.93,37.89,38.38,38.38,59000700.0
4155,2023-01-05,38.99,39.27,38.4,38.5,38.5,61908520.0
4154,2023-01-04,37.78,38.83,37.53,38.65,38.65,83645410.0
4153,2023-01-03,37.08,37.78,36.53,37.58,37.58,60626620.0
4152,2023-01-02,37.26,37.26,37.26,37.26,37.26,0.0
4151,2022-12-30,37.34,37.63,37.19,37.26,37.26,52322810.0
4150,2022-12-29,36.9,37.32,36.65,37.23,37.23,51362910.0
4149,2022-12-28,36.67,37.52,36.58,37.33,37.33,52886000.0
4148,2022-12-27,36.45,36.98,36.33,36.67,36.67,36790750.0
4147,2022-12-26,36.35,36.8,35.89,35.95,35.95,36047350.0
4146,2022-12-23,36.29,36.8,36.15,36.37,36.37,33058360.0
4145,2022-12-22,36.53,36.85,36.25,36.5,36.5,35971480.0
4144,2022-12-21,35.99,36.23,35.71,35.95,35.95,33049780.0
4143,2022-12-20,36.24,36.55,35.3,35.72,35.72,70291120.0
4142,2022-12-19,37.1,37.34,36.25,36.5,36.5,54784250.0
4141,2022-12-16,36.3,37.2,36.3,37.09,37.09,60782000.0
4140,2022-12-15,36.62,36.96,36.22,36.33,36.33,40340340.0
4139,2022-12-14,36.14,37.04,36.02,36.91,36.91,64436170.0
4138,2022-12-13,35.73,36.26,35.61,36.14,36.14,38290400.0
4137,2022-12-12,36.41,36.6,35.68,35.79,35.79,60626240.0
4136,2022-12-09,35.8,36.93,35.63,36.75,36.75,95816290.0
4135,2022-12-08,35.25,35.77,35.16,35.45,35.45,44355150.0
4134,2022-12-07,35.8,35.95,35.3,35.32,35.32,56460630.0
4133,2022-12-06,35.91,35.98,35.42,35.85,35.85,65110350.0
4132,2022-12-05,34.97,36.1,34.61,36.1,36.1,105060440.0
4131,2022-12-01,35.9,36.5,34.85,35.0,35.0,83139720.0
4130,2022-11-30,34.33,35.44,34.2,34.96,34.96,87332460.0
4129,2022-11-29,32.79,34.91,32.75,34.86,34.86,175318700.0
4128,2022-11-28,32.1,32.11,31.45,31.96,31.96,80937690.0
4127,2022-11-25,32.21,33.22,32.18,33.02,33.02,83012160.0
4126,2022-11-24,32.6,32.87,32.08,32.22,32.22,40630100.0
4125,2022-11-23,32.33,32.95,32.15,32.22,32.22,57764430.0
4124,2022-11-22,32.07,32.88,31.8,32.45,32.45,65416650.0
4123,2022-11-21,31.6,31.97,31.05,31.87,31.87,47910400.0
4122,2022-11-18,32.29,32.68,31.83,32.07,32.07,56273190.0
4121,2022-11-17,33.3,33.3,32.0,32.31,32.31,103715190.0
4120,2022-11-16,33.26,33.48,32.86,33.38,33.38,61459440.0
4119,2022-11-15,33.15,33.83,32.75,33.28,33.28,91330510.0
4118,2022-11-14,32.5,33.69,32.33,33.14,33.14,204968540.0
4117,2022-11-11,30.1,31.8,29.71,31.24,31.24,168871690.0
4116,2022-11-10,29.0,29.3,28.77,29.19,29.19,40004560.0
4115,2022-11-09,29.15,29.55,29.0,29.18,29.18,46305960.0
4114,2022-11-08,29.2,29.38,28.94,29.15,29.15,43978190.0
4113,2022-11-07,28.8,29.43,28.62,29.16,29.16,54538020.0
4112,2022-11-04,28.05,29.25,27.99,29.08,29.08,92682960.0
4111,2022-11-03,28.35,28.38,27.88,28.05,28.05,50172210.0
4110,2022-11-02,28.16,28.7,27.85,28.42,28.42,72836100.0
4109,2022-11-01,27.1,28.25,27.01,28.19,28.19,105901900.0
