date,open,high,low,close,adjusted_close,volume
2007-01-04,16.99,17.8,15.5,15.96,7.82009314746718,153446.0
2007-01-05,15.76,15.76,15.0,15.24,7.46730699043859,112798.0
2007-01-08,15.36,16.2,15.36,16.0,7.83969237841322,96110.0
2007-01-09,15.85,16.5,15.8,16.43,8.05038411108307,93174.0
2007-01-10,16.59,16.88,16.15,16.74,8.20227815091483,74649.0
2007-01-11,16.71,16.9,16.18,16.23,7.95238795635291,74514.0
2007-01-12,16.02,16.39,15.55,15.89,7.78579449331163,65362.0
2007-01-15,15.88,16.8,15.72,16.7,8.1826789199688,69527.0
2007-01-16,16.86,17.42,16.7,17.09,8.37377142169262,86720.0
2007-01-17,17.1,17.48,16.2,16.46,8.0650835342926,74386.0
2007-01-18,16.43,16.83,15.36,15.7,7.69269814631797,98331.0
2007-01-19,16.1,16.87,16.05,16.48,8.07488314976561,82926.0
2007-01-22,16.81,17.63,16.81,17.53,8.58936296209898,108517.0
2007-01-23,17.61,19.08,17.56,18.81,9.21653835237204,129862.0
2007-01-24,18.9,19.71,18.0,18.14,8.88825123402598,123109.0
2007-01-25,18.21,18.61,17.85,18.05,8.84415296439741,90521.0
2007-01-26,17.92,19.51,17.6,19.24,9.42723008504189,98527.0
2007-01-29,19.3,19.96,18.8,19.0,9.3096346993657,121708.0
2007-01-30,19.12,19.19,18.35,18.45,9.04014527385774,86834.0
2007-01-31,18.32,18.32,16.81,17.17,8.41296988358468,94337.0
2007-02-01,16.89,17.49,16.68,16.91,8.28557488243547,85932.0
2007-02-02,17.04,17.13,16.08,16.15,7.91318949446084,88961.0
2007-02-05,16.15,16.35,15.62,15.63,7.65839949216241,68994.0
2007-02-06,15.55,16.5,14.99,16.46,8.0650835342926,168380.0
2007-02-07,16.49,17.3,16.33,16.72,8.19247853544181,134058.0
2007-02-08,16.89,16.9,16.23,16.56,8.11408161165768,61211.0
2007-02-09,16.51,16.65,15.97,16.05,7.86419141709576,60260.0
2007-02-12,16.03,17.1,16.03,16.91,8.28557488243547,69268.0
2007-02-13,17.0,17.38,16.81,17.03,8.34437257527357,55089.0
2007-02-14,17.04,18.02,16.88,18.0,8.81965392571487,79726.0
2007-02-15,18.18,18.36,17.74,18.11,8.87355181081646,74378.0
2007-02-16,18.21,18.34,17.7,17.85,8.74615680966725,70320.0
2007-02-19,17.85,17.85,17.85,17.85,8.74615680966725,0.0
2007-02-20,17.85,17.85,17.85,17.85,8.74615680966725,0.0
2007-02-21,17.85,17.85,17.85,17.85,8.74615680966725,0.0
2007-02-22,17.85,17.85,17.85,17.85,8.74615680966725,0.0
2007-02-23,17.85,17.85,17.85,17.85,8.74615680966725,0.0
2007-02-26,17.3,17.31,16.83,16.85,8.25617603601642,143193.0
2007-02-27,16.96,17.05,15.26,15.34,7.51630506780367,135729.0
2007-02-28,15.36,16.13,15.32,16.09,7.88379064804179,127540.0
2007-03-01,16.08,16.09,15.33,15.58,7.63390045347987,72444.0
2007-03-02,15.47,16.0,15.38,15.64,7.66329929989892,53824.0
2007-03-05,15.58,15.88,14.95,15.17,7.43300833628303,73137.0
2007-03-06,15.17,16.35,15.17,15.94,7.81029353199417,90565.0
2007-03-07,16.08,16.3,15.9,16.13,7.90338987898782,62857.0
2007-03-08,16.16,16.3,15.86,16.2,7.93768853314338,48028.0
2007-03-09,16.26,16.6,16.01,16.3,7.98668661050847,81070.0
2007-03-12,16.36,16.48,15.94,16.07,7.87399103256878,66570.0
2007-03-13,16.06,16.15,15.78,15.98,7.8298927629402,51591.0
2007-03-14,15.7,15.7,15.37,15.54,7.61430122253384,93102.0
2007-03-15,15.56,15.97,15.45,15.8,7.74169622368305,68468.0
2007-03-16,15.85,15.9,15.33,15.52,7.60450160706082,69607.0
2007-03-19,15.18,16.9,15.18,16.36,8.01608545692751,138834.0
2007-03-20,16.41,16.52,16.15,16.3,7.98668661050847,68033.0
2007-03-21,16.4,16.67,16.28,16.43,8.05038411108307,78974.0
2007-03-22,16.6,16.95,16.53,16.62,8.14348045807673,96742.0
2007-03-23,16.62,16.85,16.1,16.47,8.0699833420291,68717.0
2007-03-26,16.5,16.67,16.16,16.56,8.11408161165768,87554.0
2007-03-27,16.68,16.78,16.37,16.46,8.0650835342926,66320.0
2007-03-28,16.46,17.32,16.37,17.2,8.42766930679421,159739.0
2007-03-29,17.18,18.34,17.08,17.51,8.57956334662597,183263.0
2007-03-30,17.51,17.51,17.51,17.51,8.57956334662597,0.0
2007-04-02,17.42,17.72,17.25,17.63,8.63836103946406,74177.0
2007-04-03,17.74,18.0,17.5,17.75,8.69715873230216,74834.0
2007-04-04,17.75,18.03,17.65,17.74,8.69225892456565,78834.0
2007-04-05,17.75,17.8,17.23,17.55,8.599162577572,92703.0
2007-04-06,17.33,17.54,17.06,17.24,8.44726853774024,102995.0
2007-04-09,17.22,17.7,17.06,17.42,8.53546507699739,84570.0
2007-04-10,17.45,18.12,17.45,18.0,8.81965392571487,152668.0
2007-04-11,18.6,19.47,18.6,19.13,9.3733321999403,206828.0
2007-04-12,19.2,19.6,18.93,19.15,9.38313181541332,94202.0
2007-04-13,19.15,19.16,18.65,18.81,9.21653835237204,92633.0
2007-04-16,18.9,20.48,18.8,20.21,9.90251143548319,129084.0
2007-04-17,20.47,20.48,19.0,19.96,9.78001624207049,103836.0
2007-04-18,19.95,20.25,19.4,19.52,9.56442470166412,85304.0
2007-04-19,19.65,19.94,18.36,19.01,9.3145345071022,139926.0
2007-04-20,19.01,19.79,19.0,19.45,9.53012604750857,93871.0
2007-04-23,19.66,20.06,19.48,19.94,9.77021662659747,99646.0
2007-04-24,20.14,20.26,19.51,19.55,9.57912412487365,77355.0
2007-04-25,19.5,20.78,19.3,20.0,9.79961547301652,112274.0
2007-04-26,20.22,20.6,19.6,20.04,9.81921470396255,80169.0
2007-04-27,19.9,20.12,19.49,19.5,9.55462508619111,80922.0
2007-04-30,19.5,19.85,19.1,19.47,9.53992566298158,103575.0
2007-05-01,19.47,19.47,19.47,19.47,9.53992566298158,0.0
2007-05-02,19.47,19.47,19.47,19.47,9.53992566298158,0.0
2007-05-03,19.47,19.47,19.47,19.47,9.53992566298158,0.0
2007-05-04,19.47,19.47,19.47,19.47,9.53992566298158,0.0
2007-05-07,19.47,19.47,19.47,19.47,9.53992566298158,0.0
2007-05-08,20.1,20.59,19.82,20.18,9.88781201227367,123443.0
2007-05-09,20.15,22.0,19.95,21.73,10.6472822114325,196452.0
2007-05-10,21.73,22.31,20.99,21.49,10.5296868257563,112354.0
2007-05-11,21.29,21.96,20.86,21.65,10.6080837495404,134248.0
2007-05-14,21.1,22.6,20.9,22.16,10.8579739441023,125128.0
2007-05-15,22.2,22.29,20.75,20.8,10.1916000919372,105175.0
2007-05-16,20.95,21.27,20.59,21.09,10.3336945162959,86611.0
2007-05-17,21.08,21.36,20.88,21.22,10.3973920168705,86254.0
2007-05-18,21.09,21.09,20.6,20.76,10.1720008609911,93895.0
2007-05-21,20.01,20.66,20.0,20.46,10.0250066288959,146459.0
2007-05-22,20.52,21.0,20.45,20.66,10.1230027836261,80432.0
2007-05-23,20.7,21.4,20.4,21.21,10.392492209134,97119.0
2007-05-24,21.26,22.08,21.0,21.34,10.4561897097086,108436.0
2007-05-25,21.15,21.6,20.89,21.12,10.3483939395054,85274.0
2007-05-28,21.31,21.98,21.28,21.31,10.4414902864991,90491.0
2007-05-29,21.35,21.75,21.09,21.4,10.4855885561277,91959.0
2007-05-30,20.3,21.29,19.68,20.07,9.83391412717208,154780.0
2007-05-31,20.2,22.08,19.99,21.72,10.6423824036959,183342.0
2007-06-01,21.85,23.42,21.75,22.07,10.8138756744737,156235.0
2007-06-04,21.85,23.42,21.75,22.07,10.8138756744737,0.0
2007-06-05,20.8,21.51,19.78,21.49,10.5296868257563,144985.0
2007-06-06,21.49,22.0,20.9,21.42,10.4953881716007,92003.0
2007-06-07,21.69,22.1,21.1,21.68,10.6227831727499,113170.0
2007-06-08,21.6,21.6,20.99,21.24,10.4071916323435,102073.0
2007-06-11,21.26,21.85,20.97,21.79,10.6766810578515,113218.0
2007-06-12,21.6,21.79,21.1,21.63,10.5982841340674,98068.0
2007-06-13,21.78,23.0,21.78,22.64,11.0931647154547,145122.0
2007-06-14,22.58,22.64,22.03,22.2,10.8775731750483,74721.0
2007-06-15,22.2,22.2,22.2,22.2,10.8775731750483,0.0
2007-06-18,23.28,24.38,23.16,23.98,11.7497389521468,130105.0
2007-06-19,23.69,24.92,23.5,24.11,11.8134364527214,92123.0
2007-06-20,24.1,24.1,23.0,23.02,11.279357409442,74294.0
2007-06-21,23.21,24.19,23.2,23.81,11.6664422206262,74454.0
2007-06-22,23.87,24.9,23.7,24.17,11.8428352991405,94682.0
2007-06-25,24.62,25.95,24.62,24.96,12.2299201103246,114513.0
2007-06-26,24.5,25.06,24.0,24.5,12.0045289544452,73769.0
2007-06-27,24.7,25.6,24.18,25.32,12.4063131888389,77165.0
2007-06-28,25.32,25.86,24.7,24.74,12.1221243401214,65366.0
2007-06-29,24.2,24.97,24.01,24.58,12.0437274163373,48200.0
2007-07-02,24.48,24.67,23.18,23.88,11.7007408747817,58961.0
2007-07-03,23.95,24.55,23.95,24.42,11.9653304925532,37842.0
2007-07-04,24.4,24.56,23.75,23.93,11.7840376063024,39215.0
